Nama Wilayah,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
Kota Cilegon,295100
Kota Serang,236039
Kota Tangerang Selatan,378303
BALI,284009
Jembrana,298003
Tabanan,329226
Badung,406408
Gianyar,279742
Klungkung,246615
Bangli,258538
Karang Asem,248379
Buleleng,295912
Kota Denpasar,407191
NUSA TENGGARA BARAT,278514
Lombok Barat,313632
Lombok Tengah,306311
Lombok Timur,321249
Sumbawa,259474
Dompu,233213
Bima,243339
Sumbawa Barat,379222
Lombok Utara,332073
Kota Mataram,359651
Kota Bima,262967
NUSA TENGGARA TIMUR,251080
Sumba Barat,257372
Sumba Timur,260247
Kupang,252934
Timor Tengah Selatan,235956
Timor Tengah Utara,261995
Belu,252005
Alor,232406
Lembata,267510
Flores Timur,214010
Sikka,231250
Ende,271888
Ngada,248760
Manggarai,246366
Rote Ndao,235613
Manggarai Barat,245425
Sumba Tengah,216218
Sumba Barat Daya,272036
Nagekeo,252083
Manggarai Timur,245077
Sabu Raijua,277403
Malaka,-
Kota Kupang,400641
KALIMANTAN BARAT,270306
Sambas,278704
Bengkayang,240704
Landak,252336
Pontianak,240081
Sanggau,222877
Ketapang,310504
Sintang,358693
Kapuas Hulu,304138
Sekadau,229464
Melawi,340889
Kayong Utara,207989
Kubu Raya,269835
Kota Pontianak,341422
Kota Singkawang,320211
KALIMANTAN TENGAH,307698
Kotawaringin Barat,273467
Kotawaringin Timur,300929
Kapuas,235187
Barito Selatan,311166
Barito Utara,355065
Sukamara,344545
Lamandau,312204
Seruyan,321392
Katingan,325773
Pulang Pisau,294250
Gunung Mas,317979
Barito Timur,373579
Murung Raya,328986
Kota Palangka Raya,281323
KALIMANTAN SELATAN,300329
Tanah Laut,317127
Kota Baru,294832
Banjar,296791
Barito Kuala,227692
Tapin,295353
Hulu Sungai Selatan,332312
Hulu Sungai Tengah,257580
Hulu Sungai Utara,312537
Tabalong,330764
Tanah Bumbu,332406
Balangan,284378
Kota Banjarmasin,346466
Kota Banjar Baru,408649
KALIMANTAN TIMUR,417902
Paser,329478
Kutai Barat,364224
Kutai Kartanegara,362637
Kutai Timur,397482
Berau,396593
Penajam Paser Utara,333861
Mahakam Hulu,-
Kota Balikpapan,425146
Kota Samarinda,460975
Kota Bontang,422951
KALIMANTAN UTARA,417902
Malinau,428015
Bulungan,322878
Tana Tidung,301852
Nunukan,304856
Kota Tarakan,422050
SULAWESI UTARA,250249
Bolaang Mongondow,241743
Minahasa,216181
Kepulauan Sangihe,201184
Kepulauan Talaud,211224
Minahasa Selatan,244813
Minahasa Utara,241801
Bolaang Mongondow Utara,194554
Siau Tagulandang Biaro,231807
Minahasa Tenggara,257210
Bolaang Mongondow Selatan,237554
Bolaang Mongondow Timur,237317
Kota Manado,279910
Kota Bitung,291316
Kota Tomohon,285307
Kota Kotamobagu,235763
SULAWESI TENGAH,301000
Banggai Kepulauan,244977
Banggai,287513
Morowali,316400
Poso,343385
Donggala,233991
Toli-Toli,230115
Buol,253185
Parigi Moutong,291697
Tojo Una-Una,332065
Sigi,235599
Banggai Laut,-
Morowali Utara,-
Kota Palu,378455
SULAWESI SELATAN,217547
Kepulauan Selayar,261261
Bulukumba,249131
Bantaeng,200302
Jeneponto,265921
Takalar,253415
Gowa,278068
Sinjai,215481
Maros,278520
Pangkajene Dan Kepulauan,235875
Barru,246303
Bone,233943
Soppeng,202666
Wajo,238194
Sidenreng Rappang,235406
Pinrang,221717
Enrekang,235269
Luwu,229799
Tana Toraja,217981
Luwu Utara,240721
Luwu Timur,231447
Toraja Utara,316276
Kota Makassar,288040
Kota Parepare,248270
Kota Palopo,224562
SULAWESI TENGGARA,226990
Buton,188775
Muna,253043
Konawe,230486
Kolaka,275682
Konawe Selatan,175092
Bombana,235920
Wakatobi,206570
Kolaka Utara,324985
Buton Utara,242884
Konawe Utara,207521
Kolaka Timur,-
Konawe Kepulauan,-
Muna Barat,-
Buton Tengah,-
Buton Selatan,-
Kota Kendari,255229
Kota Baubau,257174
GORONTALO,233942
Boalemo,269570
Gorontalo,295852
Pohuwato,212629
Bone Bolango,265208
Gorontalo Utara,212360
Kota Gorontalo,332241
SULAWESI BARAT,228944
Majene,263402
Polewali Mandar,277609
Mamasa,197930
Mamuju,187013
Mamuju Utara,262374
Mamuju Tengah,-
MALUKU,346599
Maluku Tenggara Barat,269495
Maluku Tenggara,292513
Maluku Tengah,355246
Buru,347690
Kepulauan Aru,277924
Seram Bagian Barat,295465
Seram Bagian Timur,287989
Maluku Barat Daya,289248
Buru Selatan,404982
Kota Ambon,417789
Kota Tual,291769
MALUKU UTARA,291352
Halmahera Barat,251447
Halmahera Tengah,335139
Kepulauan Sula,264258
Halmahera Selatan,230667
Halmahera Utara,184492
Halmahera Timur,383015
Pulau Morotai,200015
Pulau Taliabu,-
Kota Ternate,418472
Kota Tidore Kepulauan,314328
PAPUA BARAT,397003
Fakfak,394248
Kaimana,309655
Teluk Wondama,403964
Teluk Bintuni,492193
Manokwari,475559
Sorong Selatan,255932
Sorong,279725
Raja Ampat,273436
Tambrauw,281586
Maybrat,283440
Manokwari Selatan,-
Pegunungan Arfak,-
Kota Sorong,536584
PAPUA BARAT DAYA,-
Raja Ampat,-
Sorong,-
Sorong Selatan,-
Maybrat,-
Tambrauw,-
Kota Sorong,-
PAPUA,339096
Merauke,261300
Jayawijaya,307760
Jayapura,404404
Nabire,423864
Kepulauan Yapen,435185
Biak Numfor,409164
Paniai,331280
Puncak Jaya,428465
Mimika,510154
Boven Digoel,331147
Mappi,240527
Asmat,271053
Yahukimo,274781
Pegunungan Bintang,362626
Tolikara,199192
Sarmi,333493
Keerom,406808
Waropen,448507
Supiori,325385
Mamberamo Raya,498326
Nduga *,235439
Lanny Jaya,338536
Mamberamo Tengah,289262
Yalimo,246035
Puncak,438789
Dogiyai,345421
Intan Jaya,418057
Deiyai,408519
Kota Jayapura,643498
PAPUA SELATAN,-
Merauke,-
Boven Digoel,-
Mappi,-
Asmat,-
PAPUA TENGAH,-
Mimika,-
Dogiyai,-
Deiyai,-
Nabire,-
Paniai,-
Intan Jaya,-
Puncak,-
Puncak Jaya,-
PAPUA PEGUNUNGAN,-
Nduga,-
Jayawijaya,-
Lanny Jaya,-
Tolikara,-
Mamberamo Tengah,-
Yalimo,-
Yahukimo,-
Pegunungan Bintang,-
,
Catatan,"Tidak ada data Susenas Maret 2015 di Kabupaten Nduga, Provinsi Papua . Angka kemiskinan Kab Nduga tahun 2015 memakai angka tahun 2014"
