Kabupaten_Kota,Angka_Harapan_Hidup,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Rata_Lama_Sekolah
kalimantan selatan,64.82,300329.0,71.74,7.59
kalimantan tengah,71.47,307698.0,75.68,7.79
kalimantan timur,71.78,417902.0,77.33,8.87
kalimantan utara,69.7,417902.0,74.72,8.1
kampar,68.92,336681.0,75.83,8.62
kapuas,71.11,235187.0,74.48,6.84
kapuas hulu,67.17,304138.0,70.97,6.6
karanganyar,72.56,275865.0,75.27,8.38
karawang,67.8,335273.0,71.56,6.73
karimun,70.11,288856.0,74.95,7.67
karo,72.44,337578.0,76.76,9.25
katingan,67.72,325773.0,73.83,8.17
kaur,67.93,248571.0,71.54,7.76
kayong utara,66.3,207989.0,66.83,5.14
kebumen,69.73,267763.0,72.25,6.39
kediri,70.65,245287.0,73.29,7.24
keerom,67.53,406808.0,70.42,6.45
kendal,69.42,275016.0,72.03,6.42
kep. bangka belitung,69.46,427081.0,74.29,7.32
kepahiang,64.93,274671.0,69.76,7.22
kepulauan anambas,67.8,268570.0,70.48,6.14
kepulauan aru,68.24,277924.0,71.29,7.93
kepulauan mentawai,68.72,217773.0,69.72,6.17
kepulauan meranti,69.0,375063.0,71.8,7.33
kepulauan sangihe,73.55,201184.0,76.79,7.14
kepulauan selayar,68.08,261261.0,71.0,6.9
kepulauan sula,66.01,264258.0,69.59,7.86
kepulauan talaud,72.57,211224.0,76.47,8.71
kepulauan yapen,69.1,435185.0,71.4,8.37
kerinci,71.19,262679.0,75.49,7.71
ketapang,68.37,310504.0,69.74,6.17
klaten,72.16,315566.0,74.91,7.74
klungkung,69.52,246615.0,72.25,6.88
kolaka,67.74,275682.0,72.39,7.9
kolaka utara,66.13,324985.0,70.65,7.35
konawe,68.32,230486.0,71.67,8.39
konawe selatan,68.24,175092.0,70.7,7.24
konawe utara,67.93,207521.0,70.66,8.15
kota ambon,73.33,417789.0,79.58,11.44
kota balikpapan,72.81,425146.0,79.87,10.39
kota banda aceh,71.72,493558.0,79.0,12.19
kota bandar lampung,71.68,429146.0,77.17,10.77
kota bandung,70.13,340355.0,77.32,10.37
kota banjar,66.89,250311.0,72.84,7.66
kota banjar baru,68.32,408649.0,76.86,10.69
kota banjarmasin,66.66,346466.0,75.28,9.79
kota batam,70.96,482567.0,78.73,10.79
